2017-06-09 13:56:41,438: INFO: running resume_train.py -finetune ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model -train ../data/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removeword
2017-06-09 13:56:41,438: INFO: loading Word2Vec object from ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model
2017-06-09 13:56:41,672: INFO: loading wv recursively from ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model.wv.* with mmap=None
2017-06-09 13:56:41,672: INFO: loading syn0 from ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model.wv.syn0.npy with mmap=None
2017-06-09 13:56:41,716: INFO: setting ignored attribute syn0norm to None
2017-06-09 13:56:41,716: INFO: loading syn1neg from ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model.syn1neg.npy with mmap=None
2017-06-09 13:56:41,754: INFO: setting ignored attribute cum_table to None
2017-06-09 13:56:41,754: INFO: loaded ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model
2017-06-09 13:56:41,954: INFO: training model with 12 workers on 84043 vocabulary and 300 features, using sg=1 hs=0 sample=0.001 negative=10 window=5
2017-06-09 13:56:42,960: INFO: PROGRESS: at 0.00% examples, 355287 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:56:43,964: INFO: PROGRESS: at 0.01% examples, 385896 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:56:44,969: INFO: PROGRESS: at 0.02% examples, 403622 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:56:45,990: INFO: PROGRESS: at 0.02% examples, 409542 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:56:46,993: INFO: PROGRESS: at 0.03% examples, 417348 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:56:48,021: INFO: PROGRESS: at 0.04% examples, 419322 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:56:49,022: INFO: PROGRESS: at 0.04% examples, 424699 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:56:50,039: INFO: PROGRESS: at 0.05% examples, 423448 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:56:51,054: INFO: PROGRESS: at 0.06% examples, 424366 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:56:52,068: INFO: PROGRESS: at 0.06% examples, 426524 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:56:53,091: INFO: PROGRESS: at 0.07% examples, 429804 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:56:54,106: INFO: PROGRESS: at 0.08% examples, 430395 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:56:55,113: INFO: PROGRESS: at 0.08% examples, 432867 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:56:56,121: INFO: PROGRESS: at 0.09% examples, 433032 words/s, in_qsize 23, out_qsize 0
